Отчет Суммы по организациям;;;;;;;;;;;;;;;;
Без заявок: Нет;;;;;;;;;;;;;;;;
№;Название;ИНН;Менеджер;Всего кол-во;Всего сумма;ПРОФ кол-во;ПРОФ сумма;ЛМК кол-во;ЛМК сумма;Справки кол-во;Справки сумма;Лечение кол-во;Лечение сумма;Себестоимость;Маржинальность;Маржинальность %
;ИТОГО:;;;5137;32611767.06;2385;3944300;1566;3336195;634;785900;552;24545372.06;2034076.65;3020233.35;
1;"1 ООО ""ГК НОВИКОВ""";7704544850;Боташева (1);19;15000;1;;18;15000;;;;;33960;-18960;- 126.40
2;OOO «ДИАЛЛ АЛЬЯНС»;7716182080;Корнилова (6);2;3300;;;;;;;2;3300;#Н/Д;#Н/Д;
3;"Автошкола ""СтрелаАвто""";5006014136;Бурина (10);4;6800;;;;;4;6800;;;0;6800; 100.00
4;"АНО ""ИМБИИТ""";7704547843;Боташева (1);6;15000;6;15000;;;;;;;0;15000; 100.00
5;"АО ""766 УПТК""";5024076350;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
6;"АО ""АВТО-ЕВРО""";7712035729;Якубжанова Екатерина (3);10;14800;6;10800;;;4;4000;;;#Н/Д;#Н/Д;
7;"АО ""АЭРОМАКС-ТЕХ""";9704154772;Боташева (1);1;1700;1;1700;;;;;;;0;1700; 100.00
8;"АО ""БИОМИР СЕРВИС""";7720254770;Якубжанова Екатерина (3);24;20100;2;4400;22;15700;;;;;43430;-23330;- 116.07
9;"АО ""ГЦМО ЭМС""";7736057802;Якубжанова Екатерина (3);1;2500;1;2500;;;;;;;0;2500; 100.00
10;"АО ИК ""АК БАРС ФИНАНС""";7706537061;Боташева (1);4;8600;2;5000;;;2;3600;;;0;8600; 100.00
11;"АО ""МЗСС""";7728423036;Боташева (1);14;35000;;;;;14;35000;;;#Н/Д;#Н/Д;
12;"АО ""НПП ""ТОРИЙ""";7728328640;Боташева (1);157;280800;156;280800;;;1;;;;0;280800; 100.00
13;"АО ""ПГМ""";7723015587;Якубжанова Екатерина (3);2;4400;2;4400;;;;;;;0;4400; 100.00
14;"АО ""РЖДСТРОЙ""";7708587205;Якубжанова Екатерина (3);20;40000;20;40000;;;;;;;0;40000; 100.00
15;АО «РОЛЬФ»;5047254063;Боташева (1);191;222100;99;148500;;;92;73600;;;0;222100; 100.00
16;"АО ""СИЛД ЭЙР КАУСТИК""";3448003994;Якубжанова Екатерина (3);1;3900;;;1;3900;;;;;3160;740; 18.97
17;"АО ""СОВТРАНСАВТОЭКСПЕДИЦИЯ""";7729038069;Якубжанова Екатерина (3);3;5400;3;5400;;;;;;;0;5400; 100.00
18;"АО ""СТРОЙКОМ""";5036151517;Боташева (1);1;2200;1;2200;;;;;;;0;2200; 100.00
19;"АО ""ТК ""БЕЗОПАСНОСТЬ""";7731396110;Якубжанова Екатерина (3);1;2500;1;2500;;;;;;;0;2500; 100.00
20;"АО ""ФИРМА ""ГЕЛИЙ""";7702022939;Якубжанова Екатерина (3);2;5600;;;2;5600;;;;;4320;1280; 22.86
21;"АО ""ФМ-КРАФТ""";7729412580;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
22;Биглион;;Бурина (10);24;21270;;;;;;;24;21270;0;21270; 100.00
23;ГБОУ ШКОЛА № 1679;7743084684;Якубжанова Екатерина (3);6;3000;2;;2;;2;3000;;;2890;110; 3.67
24;"ГБУ ""ЖИЛИЩНИК ДОНСКОГО РАЙОНА""";7725815123;Боташева (1);151;226500;148;222000;;;3;4500;;;#Н/Д;#Н/Д;
25;"ГБУК Г. МОСКВЫ МДТ ""БЕНЕФИС""";7728039292;Боташева (1);6;13200;6;13200;;;;;;;0;13200; 100.00
26;"ЗАО ""ЭНЕРГОСТРОЙ""";6674357664;Якубжанова Екатерина (3);3;4800;2;3600;;;1;1200;;;0;4800; 100.00
27;ИГЕМ РАН;7706042076;Якубжанова Екатерина (3);70;199800;53;159000;;;17;40800;;;0;199800; 100.00
28;ИП Асриян Сюзанна Сейрановна;503230530330;Боташева (1);8;23900;;;8;23900;;;;;18580;5320; 22.26
29;ИП Бегджанян Арман Арташесович;503226867490;Боташева (1);1;2700;;;1;2700;;;;;2160;540; 20.00
30;ИП Бородина Ксения Анатольевна;500908267147;Якубжанова Екатерина (3);3;8400;;;3;8400;;;;;6480;1920; 22.86
31;ИП Газдаров Заурбек Эдуардович;151505622200;Якубжанова Екатерина (3);1;;;;1;;;;;;2060;-2060;
32;ИП Додонова Виктория Владимировна;561400413133;Якубжанова Екатерина (3);14;30800;14;30800;;;;;;;0;30800; 100.00
33;ИП Жженых Андрей Любомирович;143501042326;Боташева (1);1;2600;;;1;2600;;;;;3310;-710;- 27.31
34;ИП Касьянова Берта Эриковна;262608385425;Боташева (1);1;2400;;;1;2400;;;;;1890;510; 21.25
35;ИП Коренев Алексей Александрович;772405304572;Боташева (1);1;;;;1;;;;;;2070;-2070;
36;ИП Лихачев Василий Петрович;110116644998;Боташева (1);2;1800;1;1800;1;;;;;;1990;-190;- 10.56
37;ИП Пак Николай Юрьевич;540862579428;Якубжанова Екатерина (3);5;12400;;;5;12400;;;;;#Н/Д;#Н/Д;
